	OMIM_Num	diseaseName	HPO_ID	HPO_Name
0	156310	Metachromatic leukodystrophy, adult-onset, with normal arylsulfatasea	HP:0000006	Autosomal dominant inheritance
17	156310	Metachromatic leukodystrophy, adult-onset, with normal arylsulfatasea	HP:0006926	Metachromatic leukodystrophy variant
15	156310	Metachromatic leukodystrophy, adult-onset, with normal arylsulfatasea	HP:0003581	Adult onset
14	156310	Metachromatic leukodystrophy, adult-onset, with normal arylsulfatasea	HP:0002615	Hypotension
9	156310	Metachromatic leukodystrophy, adult-onset, with normal arylsulfatasea	HP:0000020	Urinary incontinence
7	156310	Metachromatic leukodystrophy, adult-onset, with normal arylsulfatasea	HP:0000012	Urinary urgency
13	156310	Metachromatic leukodystrophy, adult-onset, with normal arylsulfatasea	HP:0002270	Abnormality of the autonomic nervous system
217	169500	Leukodystrophy, adult-onset, autosomal dominant	HP:0007262	Symmetric peripheral demyelination
50	169500	Leukodystrophy, adult-onset, autosomal dominant	HP:0000802	Impotence
51	169500	Leukodystrophy, adult-onset, autosomal dominant	HP:0001251	Ataxia
72	169500	Leukodystrophy, adult-onset, autosomal dominant	HP:0001257	Spasticity
98	169500	Leukodystrophy, adult-onset, autosomal dominant	HP:0001317	Abnormal cerebellum morphology
101	169500	Leukodystrophy, adult-onset, autosomal dominant	HP:0001347	Hyperreflexia
122	169500	Leukodystrophy, adult-onset, autosomal dominant	HP:0002019	Constipation
125	169500	Leukodystrophy, adult-onset, autosomal dominant	HP:0002171	Gliosis
126	169500	Leukodystrophy, adult-onset, autosomal dominant	HP:0002344	Progressive neurologic deterioration
218	169500	Leukodystrophy, adult-onset, autosomal dominant	HP:0007371	Corpus callosum atrophy
213	169500	Leukodystrophy, adult-onset, autosomal dominant	HP:0004926	Orthostatic hypotension due to autonomic dysfunction
214	169500	Leukodystrophy, adult-onset, autosomal dominant	HP:0005341	Autonomic bladder dysfunction
215	169500	Leukodystrophy, adult-onset, autosomal dominant	HP:0006994	Diffuse leukoencephalopathy
49	169500	Leukodystrophy, adult-onset, autosomal dominant	HP:0000751	Personality changes
223	169500	Leukodystrophy, adult-onset, autosomal dominant	HP:0008652	Autonomic erectile dysfunction
222	169500	Leukodystrophy, adult-onset, autosomal dominant	HP:0007480	Decreased sweating due to autonomic dysfunction
173	169500	Leukodystrophy, adult-onset, autosomal dominant	HP:0002607	Bowel incontinence
216	169500	Leukodystrophy, adult-onset, autosomal dominant	HP:0007024	Pseudobulbar paralysis
174	169500	Leukodystrophy, adult-onset, autosomal dominant	HP:0003487	Babinski sign
127	169500	Leukodystrophy, adult-onset, autosomal dominant	HP:0002415	Leukodystrophy
48	169500	Leukodystrophy, adult-onset, autosomal dominant	HP:0000716	Depression
195	169500	Leukodystrophy, adult-onset, autosomal dominant	HP:0003676	Progressive
1	169500	Leukodystrophy, adult-onset, autosomal dominant	HP:0000006	Autosomal dominant inheritance
16	169500	Leukodystrophy, adult-onset, autosomal dominant	HP:0003581	Adult onset
18	169500	Leukodystrophy, adult-onset, autosomal dominant	HP:0000639	Nystagmus
305	221790	DERMATOLEUKODYSTROPHY	HP:0100678	Premature skin wrinkling
304	221790	DERMATOLEUKODYSTROPHY	HP:0005328	Progeroid facial appearance
303	221790	DERMATOLEUKODYSTROPHY	HP:0001939	Abnormality of metabolism/homeostasis
302	221790	DERMATOLEUKODYSTROPHY	HP:0001833	Long foot
286	221790	DERMATOLEUKODYSTROPHY	HP:0001249	Intellectual disability
285	221790	DERMATOLEUKODYSTROPHY	HP:0001249	Intellectual disability
284	221790	DERMATOLEUKODYSTROPHY	HP:0001176	Large hands
283	221790	DERMATOLEUKODYSTROPHY	HP:0001072	Thickened skin
128	221790	DERMATOLEUKODYSTROPHY	HP:0002415	Leukodystrophy
279	221790	DERMATOLEUKODYSTROPHY	HP:0000400	Macrotia
224	221790	DERMATOLEUKODYSTROPHY	HP:0000007	Autosomal recessive inheritance
281	221790	DERMATOLEUKODYSTROPHY	HP:0000448	Prominent nose
445	249900	Metachromatic leukodystrophy due to saposin B deficiency	HP:0001324	Muscle weakness
480	249900	Metachromatic leukodystrophy due to saposin B deficiency	HP:0003828	Variable expressivity
428	249900	Metachromatic leukodystrophy due to saposin B deficiency	HP:0001290	Generalized hypotonia
425	249900	Metachromatic leukodystrophy due to saposin B deficiency	HP:0001285	Spastic tetraparesis
423	249900	Metachromatic leukodystrophy due to saposin B deficiency	HP:0001271	Polyneuropathy
175	249900	Metachromatic leukodystrophy due to saposin B deficiency	HP:0003487	Babinski sign
415	249900	Metachromatic leukodystrophy due to saposin B deficiency	HP:0001268	Mental deterioration
448	249900	Metachromatic leukodystrophy due to saposin B deficiency	HP:0002015	Dysphagia
408	249900	Metachromatic leukodystrophy due to saposin B deficiency	HP:0001265	Hyporeflexia
377	249900	Metachromatic leukodystrophy due to saposin B deficiency	HP:0001263	Global developmental delay
456	249900	Metachromatic leukodystrophy due to saposin B deficiency	HP:0002066	Gait ataxia
490	249900	Metachromatic leukodystrophy due to saposin B deficiency	HP:0007305	CNS demyelination
347	249900	Metachromatic leukodystrophy due to saposin B deficiency	HP:0001252	Hypotonia
459	249900	Metachromatic leukodystrophy due to saposin B deficiency	HP:0002371	Loss of speech
311	249900	Metachromatic leukodystrophy due to saposin B deficiency	HP:0001250	Seizure
306	249900	Metachromatic leukodystrophy due to saposin B deficiency	HP:0000762	Decreased nerve conduction velocity
446	249900	Metachromatic leukodystrophy due to saposin B deficiency	HP:0001324	Muscle weakness
10	249900	Metachromatic leukodystrophy due to saposin B deficiency	HP:0000020	Urinary incontinence
475	249900	Metachromatic leukodystrophy due to saposin B deficiency	HP:0002518	Abnormal periventricular white matter morphology
102	249900	Metachromatic leukodystrophy due to saposin B deficiency	HP:0001347	Hyperreflexia
225	249900	Metachromatic leukodystrophy due to saposin B deficiency	HP:0000007	Autosomal recessive inheritance
462	249900	Metachromatic leukodystrophy due to saposin B deficiency	HP:0002376	Developmental regression
354	249900	Metachromatic leukodystrophy due to saposin B deficiency	HP:0001260	Dysarthria
492	249900	Metachromatic leukodystrophy due to saposin B deficiency	HP:0011096	Peripheral demyelination
495	250100	Metachromatic leukodystrophy	HP:0000648	Optic atrophy
520	250100	Metachromatic leukodystrophy	HP:0001283	Bulbar palsy
517	250100	Metachromatic leukodystrophy	HP:0000738	Hallucinations
518	250100	Metachromatic leukodystrophy	HP:0000746	Delusions
519	250100	Metachromatic leukodystrophy	HP:0001082	Cholecystitis
524	250100	Metachromatic leukodystrophy	HP:0001332	Dystonia
103	250100	Metachromatic leukodystrophy	HP:0001347	Hyperreflexia
547	250100	Metachromatic leukodystrophy	HP:0002072	Chorea
548	250100	Metachromatic leukodystrophy	HP:0002445	Tetraplegia
550	250100	Metachromatic leukodystrophy	HP:0002500	Abnormal cerebral white matter morphology
516	250100	Metachromatic leukodystrophy	HP:0000712	Emotional lability
521	250100	Metachromatic leukodystrophy	HP:0001288	Gait disturbance
416	250100	Metachromatic leukodystrophy	HP:0001268	Mental deterioration
460	250100	Metachromatic leukodystrophy	HP:0002371	Loss of speech
429	250100	Metachromatic leukodystrophy	HP:0001290	Generalized hypotonia
